Parent_Selector,Survival_Selector,Final_Avg_BSF,Final_Std_BSF,Avg_Generations,Min_Best_Distance,Max_Best_Distance
fitness_proportionate,truncation,10550.822870012078,172.7144372564377,3000.0,10277.09528376866,10839.223307485927
binary_tournament,truncation,10740.09572914833,262.43890546066194,3000.0,10421.251140440232,11247.064234357567
truncation,truncation,10511.719133727254,285.2786840067372,3000.0,10105.886163465086,10950.099066537423
random,random,10719.65205509937,291.36780455465555,3000.0,10334.532074823665,11467.543722402215
rank_based,random,10478.948058855964,135.8737052278297,3000.0,10281.356909778553,10765.369480407679
