Parent_Selector,Survival_Selector,Final_Avg_BSF,Final_Std_BSF,Avg_Generations,Min_Best_Distance,Max_Best_Distance
fitness_proportionate,truncation,11309.34794671884,280.9169550919327,3000.0,10853.082187853059,11690.746333031182
binary_tournament,truncation,10600.786209794032,153.08990951197302,3000.0,10360.732633292922,10856.033252686932
truncation,truncation,10606.537561989782,207.9671197086614,3000.0,10254.753762977944,10857.388108322912
random,random,12246.359800937738,374.41767444997555,3000.0,11506.397310169044,12727.73383203436
rank_based,random,10778.940224461194,209.7869003757631,3000.0,10530.965741679667,11171.736832732851
